"query","search interest","increase percent"
"giá vé máy bay",100,"2%"
"vé máy bay hà nội",56,"8%"
"vé máy bay rẻ",55,"-2%"
"vé máy bay giá rẻ",50,"0%"
"giá vé máy bay giá rẻ",50,"-7%"
"giá vé máy bay rẻ",49,"-7%"
"đặt vé máy bay",37,"10%"
"vietjet",30,"20%"
"vé máy bay vietjet",29,"8%"
"vé máy bay đà nẵng",24,"20%"
"mua vé máy bay",20,"20%"
"vé máy bay vietnam airline",16,"30%"
"vietnam airline",16,"20%"
"vé máy bay sài gòn hà nội",12,"3%"
"vé máy bay đà lạt",12,"8%"
"vé máy bay hà nội sài gòn",11,"3%"
"vé máy bay đi hà nội",11,"8%"
"vé tàu",11,"10%"
"vé máy bay nha trang",10,"20%"
"abay",10,"30%"
"abay vé máy bay",9,"30%"
"vé máy bay phú quốc",9,"50%"
"vé máy bay abay",9,"20%"
"vé máy bay huế",8,"20%"
"vé máy bay hà nội đà nẵng",8,"20%"
"vé máy bay đà nẵng hà nội",8,"10%"
"vé máy bay online",8,"20%"
"săn vé máy bay",8,"-1%"
"check vé máy bay",8,"50%"
"vietnam airlines",7,"40%"
"vé máy bay vietnam airlines",7,"40%"
"giá vé máy bay vietjet",6,"4%"
"traveloka vé máy bay",6,"-10%"
"vé máy bay traveloka",6,"-10%"
"traveloka",6,"-10%"
"vé máy bay đi đà nẵng",5,"10%"
"tra vé máy bay",5,"20%"
"vé máy bay tết",5,"2%"
"săn vé máy bay rẻ",5,"-6%"
"vé may bay",4,"-9%"
"săn vé máy bay giá rẻ",4,"-7%"
"bamboo",4,"-2%"
"vé máy bay bamboo",4,"-2%"
"đại lý vé máy bay",4,"10%"
"đặt vé máy bay vietjet",4,"20%"
"vé máy bay đi đà lạt",4,"9%"
"vietnamairline",3,"20%"
"vé máy bay sài gòn đà nẵng",3,"2%"
"vé máy bay đà nẵng sài gòn",3,"2%"
"vé máy bay nha trang hà nội",3,"20%"
